asset,base_date,pay_date,base_quotation,dy,yield
ALZR11,2022-02-18,2022-02-25,116.45,0.62,0.73
ALZR11,2022-01-18,2022-01-25,114.49,0.65,0.75
ALZR11,2021-12-16,2021-12-23,109.95,0.59,0.65
ALZR11,2021-11-18,2021-11-25,102.98,0.62,0.64
ALZR11,2021-10-18,2021-10-25,116.25,0.53,0.62
ALZR11,2021-09-17,2021-09-24,115.99,0.58,0.67
ALZR11,2021-08-18,2021-08-25,115.82,0.62,0.72
ALZR11,2021-07-16,2021-07-23,126.5,0.49,0.62
ALZR11,2021-06-18,2021-06-25,119.72,0.56,0.67
ALZR11,2021-05-18,2021-05-25,126.29,0.53,0.68
ARCT11,2022-02-14,2022-02-21,109.5,1.37,1.5
ARCT11,2022-01-14,2022-01-21,108.0,1.58,1.7
ARCT11,2021-12-14,2021-12-21,105.0,1.66,1.74
ARCT11,2021-11-16,2021-11-23,101.9,1.41,1.44
ARCT11,2021-10-15,2021-10-22,101.79,1.1,1.12
ARCT11,2021-09-15,2021-09-22,101.75,0.91,0.93
ARCT11,2021-08-13,2021-08-20,101.39,0.81,0.82
ARCT11,2021-07-15,2021-07-22,105.34,0.86,0.9
ARCT11,2021-06-15,2021-06-22,108.85,0.46,0.5
ARCT11,2021-05-14,2021-05-21,122.0,0.82,1.0
BCFF11,2022-03-08,2022-03-15,66.95,0.81,0.54
BCFF11,2022-02-07,2022-02-14,71.7,0.75,0.54
BCFF11,2022-01-07,2022-01-14,70.3,0.77,0.54
BCFF11,2021-12-07,2021-12-14,70.61,0.71,0.5
BCFF11,2021-11-08,2021-11-16,67.79,0.74,0.5
BCFF11,2021-10-07,2021-10-15,72.95,0.69,0.5
BCFF11,2021-09-08,2021-09-15,71.3,0.7,0.5
BCFF11,2021-08-06,2021-08-13,76.15,0.62,0.47
BCFF11,2021-07-07,2021-07-15,79.99,0.56,0.45
BCFF11,2021-06-08,2021-06-15,85.99,0.58,0.5
BRCO11,2022-02-25,2022-03-08,100.0,0.63,0.63
BRCO11,2022-01-31,2022-02-07,98.02,0.64,0.63
BRCO11,2021-12-30,2022-01-07,103.28,0.61,0.63
BRCO11,2021-11-30,2021-12-07,86.0,0.7,0.6
BRCO11,2021-10-29,2021-11-08,95.75,0.6,0.57
BRCO11,2021-09-30,2021-10-07,98.45,0.58,0.57
BRCO11,2021-08-31,2021-09-08,102.0,0.56,0.57
BRCO11,2021-07-30,2021-08-06,106.53,0.54,0.57
BRCO11,2021-06-30,2021-07-07,100.24,0.54,0.54
BRCO11,2021-05-31,2021-06-08,109.3,0.49,0.54
BTLG11,2022-01-14,2022-01-25,105.5,0.68,0.72
BTLG11,2021-12-15,2021-12-23,103.73,0.69,0.72
BTLG11,2021-11-12,2021-11-25,103.0,0.7,0.72
BTLG11,2021-10-15,2021-10-25,107.9,0.67,0.72
BTLG11,2021-09-15,2021-09-24,105.47,0.68,0.72
BTLG11,2021-08-06,2021-08-13,110.36,0.67,0.74
BTLG11,2021-07-15,2021-07-23,114.35,0.61,0.7
BTLG11,2021-06-15,2021-06-25,113.04,0.62,0.7
BTLG11,2021-05-14,2021-05-25,113.02,0.62,0.7
BTLG11,2021-04-15,2021-04-23,112.1,0.56,0.63
CVBI11,2022-03-09,2022-03-16,101.69,1.1,1.12
CVBI11,2022-02-08,2022-02-15,101.89,1.1,1.12
CVBI11,2022-01-10,2022-01-17,102.6,1.09,1.12
CVBI11,2021-12-08,2021-12-15,101.0,1.11,1.12
CVBI11,2021-11-09,2021-11-17,100.9,1.11,1.12
CVBI11,2021-10-08,2021-10-18,102.1,1.2,1.23
CVBI11,2021-09-09,2021-09-16,101.98,0.98,1.0
CVBI11,2021-08-09,2021-08-16,104.39,0.81,0.85
CVBI11,2021-07-08,2021-07-16,104.72,0.95,1.0
CVBI11,2021-06-09,2021-06-16,104.62,0.96,1.0
CXCO11,2022-02-25,2022-03-15,76.1,0.86,0.65
CXCO11,2021-12-30,2022-01-14,81.5,0.8,0.65
CXCO11,2021-11-30,2021-12-14,71.8,0.91,0.65
CXCO11,2021-10-29,2021-11-16,89.92,0.73,0.65
CXCO11,2021-09-30,2021-10-15,91.43,0.72,0.65
CXCO11,2021-08-31,2021-09-15,95.0,0.69,0.66
CXCO11,2021-07-30,2021-08-13,100.19,0.66,0.66
CXCO11,2021-06-30,2021-07-14,101.5,0.65,0.66
CXCO11,2021-05-31,2021-06-15,102.38,0.7,0.72
CXCO11,2021-04-30,2021-05-14,103.22,0.56,0.58
HABT11,2022-02-25,2022-03-11,107.76,1.21,1.3
HABT11,2022-01-31,2022-02-11,110.62,1.08,1.2
HABT11,2021-12-30,2022-01-12,110.34,1.18,1.3
HABT11,2021-11-30,2021-12-10,111.13,1.35,1.5
HABT11,2021-10-29,2021-11-12,117.57,1.28,1.5
HABT11,2021-09-30,2021-10-11,113.97,1.32,1.5
HABT11,2021-08-31,2021-09-10,124.6,1.2,1.5
HABT11,2021-07-30,2021-08-12,130.8,1.22,1.6
HABT11,2021-06-30,2021-07-12,124.6,1.61,2.0
HABT11,2021-05-31,2021-06-11,126.35,1.42,1.8
HBRH11,2022-02-25,2022-03-14,85.2,0.93,0.79
