asset,base_date,pay_date,base_quotation,dy,yield
ABCP11,2022-04-29,2022-05-06 00:00:00,0.0,0.0,0.65
ABCP11,2022-03-31,2022-04-07 00:00:00,0.0,0.0,0.5
ABCP11,2022-02-25,2022-03-08 00:00:00,0.0,0.0,0.45
ABCP11,2022-01-31,2022-02-07 00:00:00,0.0,0.0,0.77
ABCP11,2021-12-30,2022-01-10 00:00:00,0.0,0.0,0.58
ABCP11,2021-11-30,2021-12-08 00:00:00,0.0,0.0,0.56
ABCP11,2021-10-29,2021-11-09 00:00:00,0.0,0.0,0.46
ABCP11,2021-09-30,2021-10-08 00:00:00,0.0,0.0,0.42
ABCP11,2021-08-31,2021-09-09 00:00:00,0.0,0.0,0.42
ABCP11,2021-07-30,2021-08-09 00:00:00,0.0,0.0,0.53
ABCP11,2021-06-30,2021-07-08 00:00:00,0.0,0.0,0.51
ABCP11,2021-05-31,2021-06-09 00:00:00,0.0,0.0,0.39
ABCP11,2021-03-31,2021-04-09 00:00:00,0.0,0.0,0.05
ABCP11,2021-02-26,2021-03-08 00:00:00,0.0,0.0,0.4
ABCP11,2021-01-29,2021-02-08 00:00:00,0.0,0.0,0.56
ABCP11,2020-12-30,2021-01-11 00:00:00,0.0,0.0,0.41
ABCP11,2020-11-30,2020-12-08 00:00:00,0.0,0.0,0.35
ABCP11,2020-10-30,2020-11-10 00:00:00,0.0,0.0,0.3
ABCP11,2020-09-30,2020-10-08 00:00:00,0.0,0.0,0.19
ABCP11,2020-08-31,2020-09-08 00:00:00,0.0,0.0,0.11
ABCP11,2020-06-30,2020-07-07 00:00:00,0.0,0.0,0.49
ABCP11,2020-02-28,2020-03-06 00:00:00,0.0,0.0,0.49
ABCP11,2020-01-31,2020-02-07 00:00:00,0.0,0.0,0.83
ABCP11,2019-12-30,2020-01-08 00:00:00,0.0,0.0,0.49
ABCP11,2019-11-29,2019-12-06 00:00:00,0.0,0.0,0.49
ABCP11,2019-10-31,2019-11-07 00:00:00,0.0,0.0,0.49
ABCP11,2019-09-30,2019-10-07 00:00:00,0.0,0.0,0.49
ABCP11,2019-08-30,2019-09-06 00:00:00,0.0,0.0,0.49
ABCP11,2019-07-31,2019-08-07 00:00:00,0.0,0.0,0.45
ABCP11,2019-06-28,2019-07-05 00:00:00,0.0,0.0,0.45
ABCP11,2019-05-31,2019-06-07 00:00:00,0.0,0.0,0.45
ABCP11,2019-04-30,2019-05-08 00:00:00,0.0,0.0,0.45
ABCP11,2019-03-29,2019-04-05 00:00:00,0.0,0.0,0.45
ABCP11,2019-02-28,2019-03-11 00:00:00,0.0,0.0,0.45
ABCP11,2019-01-31,2019-02-07 00:00:00,0.0,0.0,0.65
ABCP11,2018-12-28,2019-01-08 00:00:00,0.0,0.0,0.45
ABCP11,2018-11-30,2018-12-07 00:00:00,0.0,0.0,0.45
ABCP11,2018-10-31,2018-11-08 00:00:00,0.0,0.0,0.425
ABCP11,2018-09-28,2018-10-05 00:00:00,0.0,0.0,0.425
ABCP11,2018-08-31,2018-09-10 00:00:00,0.0,0.0,0.425
ABCP11,2018-07-31,2018-08-07 00:00:00,0.0,0.0,0.425
ABCP11,2018-06-29,2018-07-06 00:00:00,0.0,0.0,0.425
ABCP11,2018-05-30,2018-06-07 00:00:00,0.0,0.0,0.425
ABCP11,2018-04-30,2018-05-08 00:00:00,0.0,0.0,0.4
ABCP11,2018-03-29,2018-04-06 00:00:00,0.0,0.0,0.4
ABCP11,2018-02-28,2018-03-07 00:00:00,0.0,0.0,0.4
ABCP11,2018-01-31,2018-02-07 00:00:00,0.0,0.0,0.6
ABCP11,2017-12-28,2018-01-08 00:00:00,0.0,0.0,0.4
ABCP11,2017-11-30,2017-12-07 00:00:00,0.0,0.0,0.4
ABCP11,2017-10-31,2017-11-08 00:00:00,0.0,0.0,0.4
ABCP11,2017-09-29,2017-10-06 00:00:00,0.0,0.0,0.4
ABCP11,2017-08-31,2017-09-08 00:00:00,0.0,0.0,0.4
ABCP11,2017-07-31,2017-08-07 00:00:00,0.0,0.0,0.385
ABCP11,2017-06-30,2017-07-07 00:00:00,0.0,0.0,0.375
ABCP11,2017-05-31,2017-06-07 00:00:00,0.0,0.0,0.375
ABCP11,2017-04-28,2017-05-08 00:00:00,0.0,0.0,0.375
ABCP11,2017-03-31,2017-04-07 00:00:00,0.0,0.0,0.375
ABCP11,2017-02-24,2017-03-07 00:00:00,0.0,0.0,0.4
ABCP11,2017-01-31,2017-02-07 00:00:00,0.0,0.0,0.6
ABCP11,2016-12-29,2017-01-06 00:00:00,0.0,0.0,0.375
ABCP11,2016-11-30,2016-12-07 00:00:00,0.0,0.0,0.375
ABCP11,2016-10-31,2016-11-08 00:00:00,0.0,0.0,0.35
ABCP11,2016-09-30,2016-10-07 00:00:00,0.0,0.0,0.375
ABCP11,2016-08-31,2016-09-08 00:00:00,0.0,0.0,0.35
ABCP11,2016-07-29,2016-08-05 00:00:00,0.0,0.0,0.325
ABCP11,2016-06-30,2016-07-07 00:00:00,0.0,0.0,0.35
AFHI11,2022-05-13,2022-05-20 00:00:00,0.0,0.0,1.35
AFHI11,2022-04-14,2022-04-25 00:00:00,0.0,0.0,1.35
AFHI11,2022-03-15,2022-03-22 00:00:00,0.0,0.0,1.3
AFHI11,2022-02-14,2022-02-21 00:00:00,0.0,0.0,1.3
AFHI11,2022-01-14,2022-01-21 00:00:00,0.0,0.0,1.3
AFHI11,2021-12-14,2021-12-21 00:00:00,0.0,0.0,1.25
AFHI11,2021-11-16,2021-11-23 00:00:00,0.0,0.0,1.2
AFHI11,2021-10-15,2021-10-22 00:00:00,0.0,0.0,1.05
AFHI11,2021-09-15,2021-09-22 00:00:00,0.0,0.0,1.0
AFHI11,2021-08-13,2021-08-20 00:00:00,0.0,0.0,0.9
AFHI11,2021-07-15,2021-07-22 00:00:00,0.0,0.0,0.9
AFHI11,2021-06-15,2021-06-22 00:00:00,0.0,0.0,0.6
AFHI11,2021-05-14,2021-05-21 00:00:00,0.0,0.0,0.5
AFOF11,2022-05-13,2022-05-20 00:00:00,0.0,0.0,1.1355
AFOF11,2022-04-14,2022-04-25 00:00:00,0.0,0.0,1.00576
AFOF11,2022-03-15,2022-03-22 00:00:00,0.0,0.0,0.9955
AFOF11,2022-02-14,2022-02-21 00:00:00,0.0,0.0,0.96
AFOF11,2022-01-14,2022-01-21 00:00:00,0.0,0.0,0.84
AFOF11,2021-12-14,2021-12-21 00:00:00,0.0,0.0,0.84
AFOF11,2021-11-16,2021-11-23 00:00:00,0.0,0.0,0.84
AFOF11,2021-10-15,2021-10-22 00:00:00,0.0,0.0,0.837
AFOF11,2021-09-15,2021-09-22 00:00:00,0.0,0.0,0.670144590793875
AFOF11,2021-08-13,2021-08-20 00:00:00,0.0,0.0,0.6
AFOF11,2021-07-14,2021-07-21 00:00:00,0.0,0.0,3.54172866920335
AIEC11,2022-04-29,2022-05-09 00:00:00,0.0,0.0,0.72
AIEC11,2022-03-31,2022-04-08 00:00:00,0.0,0.0,1.31
AIEC11,2022-02-25,2022-03-09 00:00:00,0.0,0.0,0.68
AIEC11,2022-01-31,2022-02-08 00:00:00,0.0,0.0,0.61
AIEC11,2021-12-30,2022-01-10 00:00:00,0.0,0.0,0.61
AIEC11,2021-11-30,2021-12-08 00:00:00,0.0,0.0,0.61
AIEC11,2021-10-29,2021-11-08 00:00:00,0.0,0.0,0.61
AIEC11,2021-09-30,2021-10-08 00:00:00,0.0,0.0,0.61
AIEC11,2021-08-31,2021-09-09 00:00:00,0.0,0.0,0.61
AIEC11,2021-07-31,2021-08-09 00:00:00,0.0,0.0,0.61
AIEC11,2021-07-30,2021-08-09 00:00:00,0.0,0.0,0.61
AIEC11,2021-06-30,2021-07-08 00:00:00,0.0,0.0,0.57
AIEC11,2021-05-31,2021-06-09 00:00:00,0.0,0.0,0.57
AIEC11,2021-04-30,2021-05-10 00:00:00,0.0,0.0,0.57
AIEC11,2021-03-31,2021-04-09 00:00:00,0.0,0.0,0.57
AIEC11,2021-02-26,2021-03-08 00:00:00,0.0,0.0,0.57
AIEC11,2021-01-29,2021-02-08 00:00:00,0.0,0.0,0.56
AIEC11,2020-12-30,2021-01-11 00:00:00,0.0,0.0,0.57
AIEC11,2020-11-30,2020-12-08 00:00:00,0.0,0.0,0.57
AIEC11,2020-10-30,2020-11-10 00:00:00,0.0,0.0,0.54
ALMI11,2017-03-31,2017-04-13 00:00:00,0.0,0.0,0.371133046800382
ALMI11,2017-02-24,2017-03-14 00:00:00,0.0,0.0,85.7176313276027
ALMI11,2017-01-31,2017-02-13 00:00:00,0.0,0.0,24.8323211079
