,asset,price,lqdt,divd,dy,dy3ac,dy6ac,dy12ac,dy3m,dy6m,dy12m,dyy,price_delta,profitability,profitability_ac,liq_patr,vpa,pvp,dyp,patr_delta,sector_none,sector_hosp,sector_hotel,sector_hbd,sector_corp,sector_log,sector_other,sector_resd,sector_shop,sector_title
0,KINP11,12.99,2164.0,0.37073649532858,2.89637886975453,7.32657694878497,0.0,0.0,2.44219231626166,0.0,0.0,9.82480131083741,0.0,2.89637886975453,0.745978544558401,49695162.91,6.952381,1.8684246447368176,-9999999999.0,-9999999999.0,0,0,0,0,0,0,0,1,0,0
1,HGLG11,162.0,25676.0,3.3,2.00705510278555,3.3439678945142,5.32278377781904,9.68830228560704,1.11465596483807,0.887130629636507,0.807358523800587,5.32278377781904,-0.411871592973956,1.5869170199879,1.88984587207151,3501807619.41,149.288321,1.0851485160717964,0.73682923930801,0.470539739947373,0,0,0,0,0,1,0,0,0,0
2,TORD11,8.62,68954.0,0.17,1.94063926940639,3.98300089914666,6.33047607929481,12.2652447872773,1.32766696638222,1.05507934654913,1.02210373227311,6.33047607929481,-6.41025641025641,-4.59401709401709,-3.32802848703515,500070556.28,14.266797,0.6042000877982633,0.490649723270051,7.22538145895184,0,0,0,0,0,0,1,0,0,0
3,JPPA11,102.5,6406.0,2.04,1.92271442035815,5.58392081181665,9.89126280633975,16.6400921747175,1.86130693727222,1.64854380105663,1.38667434789312,9.89126280633975,2.11742059672761,4.08084696823869,20.0356354084795,64361837.77,106.565686,0.9618480755615837,1.87677673280309,0.245518805341871,0,0,0,0,0,0,0,0,0,1
4,RZAK11,97.5,23917.0,1.8,1.83767228177642,4.88484254428983,9.03635669009665,14.8570527631545,1.62828084809661,1.50605944834944,1.23808773026287,7.64287738483348,-0.497765136123518,1.33075985371802,10.9363927609988,282821145.09,94.219256,1.0348203131640097,1.27362500081724,0.348724689917668,0,0,0,0,0,0,0,0,0,1
5,NEWL11,93.29,326.0,1.7,1.82795698924731,3.47040827238763,5.82793905337611,10.9556746718947,1.15680275746254,0.971323175562684,0.912972889324562,5.8279390533761,-2.07433926503107,-0.284300305359586,-3.66660265608492,237060611.85,116.600624,0.8000814815536494,0.686102674716389,0.131443714823698,0,0,0,1,0,0,0,0,0,0
6,PORD11,97.0,4727.0,1.72,1.76464553195855,4.8278895134027,8.54204731556201,14.5932012518618,1.60929650446757,1.42367455259367,1.21610010432182,8.54204731556201,0.984251968503935,2.76626605884789,13.50876251405,369859708.13,99.201316,0.9778096088967206,1.42135211190142,0.030103418259575,0,0,0,0,0,0,0,0,0,1
7,VGIP11,99.5,51905.0,1.75,1.74511368169126,4.64351223843569,8.70094761553757,15.8667298783773,1.5478374128119,1.45015793592293,1.32222748986477,7.09993849463711,0.814315874132898,2.57364029355582,6.59129517420765,1095538563.59,92.914394,1.0708782107538688,1.88345413951685,-0.691421582152707,0,0,0,0,0,0,1,0,0,0
8,ARCT11,107.4,27265.0,1.86,1.70642201834862,5.15450555530191,9.60201997362056,16.4037572698471,1.71816851843397,1.60033666227009,1.36697977248726,8.02595222547241,2.79139947189739,4.54545454545454,7.79243300470893,288419391.7,100.195442,1.071905047337383,1.63731426625175,0.23095884026505,0,0,0,1,0,0,0,0,0,0
9,FLCR11,97.89,2913.0,1.69,1.68645843728171,5.06082391951521,8.89419728659259,16.9289870888353,1.68694130650507,1.4823662144321,1.41074892406961,8.89419728659259,0.209999999999999,1.89999999999999,9.96397317761317,65942593.31,104.075406,0.9405680339118735,1.68147314265582,3.0449605166321,0,0,0,0,0,0,0,0,0,1
